Name,Ate,Repo,Max_Force,Accel,Max_Health
2,0,0,[0.36775221 0.36775221],1.5128577986206615,82.27593171079583
1,0,0,[0.25110096 0.25110096],1.218938703703708,97.0875369809994
4,0,0,[0.0354067 0.0354067],0.198855259033901,112.32634221724533
5,0,0,[0.17613913 0.17613913],0.8110138080510347,92.08786497077219
3,9,0,[0.1948642 0.1948642],1.15773660749786,118.8249692170275
6,1,0,[0.16344564 0.16344564],0.753685923406548,92.2246611894798
8,0,0,[0.25477761 0.25477761],0.9707242527591793,76.20169129336244
9,0,0,[0.53294987 0.53294987],1.8712230369380591,70.22135290317307
10,0,0,[2.08197929 2.08197929],1.874019834488958,99.80098224141656
7,5,2,[0.30886307 0.30886307],1.8378858094362713,119.00974687817376
11,0,0,[0.21304166 0.21304166],0.9466420615104416,88.86919502039271
14,3,0,[1.81016126 1.81016126],1.8039906367009197,121.53555302535078
16,0,0,[1.81016126 1.81016126],1.8039906367009197,121.53555302535078
12,7,2,[1.81016126 1.81016126],1.8039906367009197,121.53555302535078
13,1,2,[1.81016126 1.81016126],1.8039906367009197,121.53555302535078
18,3,0,[1.81016126 1.81016126],1.8039906367009197,121.53555302535078
15,7,2,[1.81016126 1.81016126],1.8039906367009197,121.53555302535078
19,3,0,[1.81016126 1.81016126],1.8039906367009197,121.53555302535078
17,8,1,[1.81016126 1.81016126],1.8039906367009197,121.53555302535078
20,0,0,[0.05507659 0.05507659],0.20958994923105134,76.10854844667267
22,0,0,[0.29504298 0.29504298],0.9101297342882151,61.69472193001348
24,8,0,[0.39118515 0.39118515],1.3764920431045566,70.37547460965051
25,1,0,[0.39118515 0.39118515],1.3764920431045566,70.37547460965051
21,9,0,[0.30783583 0.30783583],0.9369776593077903,60.8751520499638
23,3,4,[0.39118515 0.39118515],1.3764920431045566,70.37547460965051
27,3,0,[0.39118515 0.39118515],1.3764920431045566,70.37547460965051
29,2,0,[0.39118515 0.39118515],1.3764920431045566,70.37547460965051
28,0,0,[0.07118305 0.07118305],0.23544459933659168,66.15186927431482
26,8,1,[0.39118515 0.39118515],1.3764920431045566,70.37547460965051
30,0,0,[0.18850697 0.18850697],1.0811879247773897,114.7106577474803
31,0,0,[0.21544228 0.21544228],1.2001166032097332,111.40957214712869
33,2,0,[0.35802181 0.35802181],1.9362333213642835,108.16287108995797
32,1,1,[0.23993256 0.23993256],1.3344817078621762,111.238065280964
34,5,0,[0.23993256 0.23993256],1.3344817078621762,111.238065280964
35,0,0,[0.31087965 0.31087965],1.1412145049902342,73.4184107586291
37,1,0,[0.11741005 0.11741005],0.671183139994401,114.3314636652518
40,6,0,[0.27630817 0.27630817],1.0899326032953187,78.89253572630149
46,0,1,[1.26854188 1.26854188],2.2097440717609134,62.15631632206713
42,9,1,[0.27630817 0.27630817],1.0899326032953187,78.89253572630149
44,0,0,[0.27630817 0.27630817],1.0899326032953187,78.89253572630149
62,1,0,[1.26854188 1.26854188],2.2097440717609134,62.15631632206713
63,4,0,[1.26854188 1.26854188],2.2097440717609134,62.15631632206713
45,10,1,[0.27630817 0.27630817],1.0899326032953187,78.89253572630149
43,0,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
54,9,1,[1.26854188 1.26854188],2.2097440717609134,62.15631632206713
72,0,0,[-0.77106293 -0.77106293],0.618595933869063,93.58827781869377
48,3,3,[1.26854188 1.26854188],2.2097440717609134,62.15631632206713
70,6,0,[1.26854188 1.26854188],2.2097440717609134,62.15631632206713
76,2,0,[0.7083435 0.7083435],-0.054532709917393785,63.53833393647484
69,3,0,[-0.15353361 -0.15353361],2.0859083387787396,104.14206505779255
59,7,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
79,2,0,[-0.33242556 -0.33242556],1.8794451051727434,82.3772511047348
81,2,0,[1.16758948 1.16758948],-2.221788338093776,81.42817016151115
86,2,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
68,3,2,[1.16758948 1.16758948],-2.221788338093776,81.42817016151115
41,1,4,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
51,6,1,[0.27630817 0.27630817],1.0899326032953187,78.89253572630149
88,1,0,[1.16758948 1.16758948],-2.221788338093776,81.42817016151115
73,9,0,[0.27630817 0.27630817],1.0899326032953187,78.89253572630149
71,3,1,[1.16758948 1.16758948],-2.221788338093776,81.42817016151115
65,7,0,[0.27630817 0.27630817],1.0899326032953187,78.89253572630149
47,2,3,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
67,0,1,[0.04110227 0.04110227],2.2723819576274966,92.39907978429893
55,1,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
58,1,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
53,5,1,[0.27630817 0.27630817],1.0899326032953187,78.89253572630149
38,4,3,[0.27630817 0.27630817],1.0899326032953187,78.89253572630149
83,1,0,[0.27630817 0.27630817],1.0899326032953187,78.89253572630149
92,4,0,[-0.48781723 -0.48781723],1.6970211186105777,96.4171718353532
85,0,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
94,0,0,[-0.34017372 -0.34017372],-0.1395015610304693,100.15986735046354
91,2,0,[0.04110227 0.04110227],2.2723819576274966,92.39907978429893
61,9,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
50,1,2,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
56,8,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
36,7,7,[0.27630817 0.27630817],1.0899326032953187,78.89253572630149
75,6,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
66,1,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
80,6,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
82,10,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
77,9,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
89,8,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
78,8,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
96,0,0,[0.58145524 0.58145524],-1.052259925700401,99.62469685850907
84,8,0,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
39,1,7,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
57,9,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
90,0,1,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
52,0,3,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
99,2,0,[1.03590797 1.03590797],-0.7887066620251679,89.06999899063977
97,4,0,[1.03590797 1.03590797],-0.7887066620251679,89.06999899063977
74,2,2,[0.18300123 0.18300123],0.9175107643328526,100.27372688923934
93,0,2,[1.03590797 1.03590797],-0.7887066620251679,89.06999899063977
